fire_name,folder_name,file_base
Black Forest,BLACK_FOREST,co3901210474920130611_20110719_20140625
Burning Tree,BURNING_TREE,co3940010473020110324_20110321_20110329
Crystal Fire,CRYSTAL_FIRE,co4053710538120110401_20100723_20120805
Fern Lake,FERN_LAKE,co4036110556320121009_20100925_20130917
Fourmile Canyon,FOURMILE_CANYON,co4005110538520100906_20100621_20110624
Galena,GALENA,co4056810518720130315_20100317_20130317
High Park,HIGH_PARK,co4058910540420120609_20110912_20130901
Indian Gulch,INDIAN_GULCH,co3976210526320110320_20100418_20110421
Lower North Fork,LOWER_NORTH_FORK,co3943610521720120326_20100918_20130926
Medano,MEDANO,co3781310546020100606_20091001_20101020
Royal Gorge,ROYAL_GORGE,co3845410535020130611_20110719_20140625
Springer,SPRINGER,co3894510543620120617_20100918_20130926
Waldo Canyon,WALDO_CANYON,co3888410493320120623_20100918_20130926
Wetmore,WETMORE,co3817710507320121023_20100918_20130926
Young Hollow,YOUNG_HOLLOW,co3853710472820110629_20110617_20110703
